,year,segment_month,segment_number,smiles,inchi,validated by Unichem,,,,,,
37,2022,April,8,CN1C[C@@H](C2=CC=CC(=C2)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C3=CC(=CC=C3)[C@@H]4CN(C)CC5=C4C=C(C=C5Cl)Cl)C6=C(C1)C(=CC(=C6)Cl)Cl,"InChI=1S/C50H66Cl4N8O10S2/c1-61-31-43(41-27-37(51)29-47(53)45(41)33-61)35-7-5-9-39(25-35)73(65,66)59-15-19-71-23-21-69-17-13-57-49(63)55-11-3-4-12-56-50(64)58-14-18-70-22-24-72-20-16-60-74(67,68)40-10-6-8-36(26-40)44-32-62(2)34-46-42(44)28-38(52)30-48(46)54/h5-10,25-30,43-44,59-60H,3-4,11-24,31-34H2,1-2H3,(H2,55,57,63)(H2,56,58,64)/t43-,44-/m0/s1",True,,,,,,
38,2022,April,9,CC(C)CC[C@@]1(C2=CC=C(C=C2O[C@@H](C)CO)S(=O)(=O)C)[C@H](CN(CC3=CC=C(C=C3)OC)C1=O)O,"InChI=1S/C27H37NO7S/c1-18(2)12-13-27(23-11-10-22(36(5,32)33)14-24(23)35-19(3)17-29)25(30)16-28(26(27)31)15-20-6-8-21(34-4)9-7-20/h6-11,14,18-19,25,29-30H,12-13,15-17H2,1-5H3/t19-,25-,27+/m0/s1",True,,,,,,
39,2022,April,10,CC1(C)C2=C(C=C(C=N2)Cl)C3=C(C=C(C=C3)Cl)N(C4=CC=C(C=C4)N5CC(CN[C@H]6CC[C@@H](CC6)C(=O)O)(C5)F)C1=O,"InChI=1S/C32H33Cl2FN4O3/c1-31(2)28-26(13-21(34)15-36-28)25-12-5-20(33)14-27(25)39(30(31)42)24-10-8-23(9-11-24)38-17-32(35,18-38)16-37-22-6-3-19(4-7-22)29(40)41/h5,8-15,19,22,37H,3-4,6-7,16-18H2,1-2H3,(H,40,41)/t19-,22-",False,,,,,,
40,2022,May,1,CN(C)CC[C@@](C1=CC=CC2=C1C=CC=C2)([C@H](C3=CC=CC=C3)C4=CC(=CN=C4OC)C5=CC=C(C=C5)Cl)O,"InChI=1S/C34H33ClN2O2/c1-37(2)21-20-34(38,31-15-9-13-25-10-7-8-14-29(25)31)32(26-11-5-4-6-12-26)30-22-27(23-36-33(30)39-3)24-16-18-28(35)19-17-24/h4-19,22-23,32,38H,20-21H2,1-3H3/t32-,34-/m1/s1",False,,,,,,
41,2022,May,2,CNC(=O)C1=NC=C(C=C1)C2=CC=C(C=C2)C3(CC3)C(=O)N4CC[C@]5(C4)C6=C(C=CC=C6)C(=O)O5,"InChI=1S/C28H25N3O4/c1-29-24(32)23-11-8-19(16-30-23)18-6-9-20(10-7-18)27(12-13-27)26(34)31-15-14-28(17-31)22-5-3-2-4-21(22)25(33)35-28/h2-11,16H,12-15,17H2,1H3,(H,29,32)/t28-/m0/s1",True,,,,,,
42,2022,May,3,C1=C(C=CC(=C1)C(F)(F)F)C2=C(Br)OC(=N2)COC3=C(C(=C(C=C3)F)C(=O)N)F,"InChI=1S/C18H10BrF5N2O3/c19-16-15(8-1-3-9(4-2-8)18(22,23)24)26-12(29-16)7-28-11-6-5-10(20)13(14(11)21)17(25)27/h1-6H,7H2,(H2,25,27)",True,,,,,,
43,2022,May,4,CC(C)C[C@@H](C(=O)NC1=NN(C=C1)C[C@H](CO)O)N2CC(=CC2=O)OC3=C(C=CC=C3)Cl,"InChI=1S/C22H27ClN4O5/c1-14(2)9-18(22(31)24-20-7-8-26(25-20)11-15(29)13-28)27-12-16(10-21(27)30)32-19-6-4-3-5-17(19)23/h3-8,10,14-15,18,28-29H,9,11-13H2,1-2H3,(H,24,25,31)/t15-,18+/m1/s1",True,,,,,,
44,2022,May,5,CC1=C(COC2=NC3=C(C=C2)CN(CC3)C(=O)CS(=O)(=O)C)C(=NO1)C4=CC=C(C=C4)F,"InChI=1S/C22H22FN3O5S/c1-14-18(22(25-31-14)15-3-6-17(23)7-4-15)12-30-20-8-5-16-11-26(10-9-19(16)24-20)21(27)13-32(2,28)29/h3-8H,9-13H2,1-2H3",True,,,,,,
45,2022,May,6,C[C@@H]1[C@H](CO)N(C2=CC(=NC(=N2)N3CCOCC3)C4=C(C(F)(F)F)N=C(N)N=C4)C(=O)O1,"InChI=1S/C18H20F3N7O4/c1-9-12(8-29)28(17(30)32-9)13-6-11(24-16(25-13)27-2-4-31-5-3-27)10-7-23-15(22)26-14(10)18(19,20)21/h6-7,9,12,29H,2-5,8H2,1H3,(H2,22,23,26)/t9-,12+/m1/s1",True,,,,,,
46,2022,May,7,C[C@H]1CCCCN1C2=NN=C3C=CC(=CN32)O[C@@H]4CC[C@@H](C5=C4C=CC=C5)NC(=O)NC6=CC(=NN6C7=CN(CCN(C)C)N=C7)C(C)(C)C,"InChI=1S/C37H49N11O2/c1-25-11-9-10-18-46(25)36-42-41-33-17-14-27(24-47(33)36)50-31-16-15-30(28-12-7-8-13-29(28)31)39-35(49)40-34-21-32(37(2,3)4)43-48(34)26-22-38-45(23-26)20-19-44(5)6/h7-8,12-14,17,21-25,30-31H,9-11,15-16,18-20H2,1-6H3,(H2,39,40,49)/t25-,30-,31+/m0/s1",True,,,,,,
